Movie ID,Dialogue ID,Chapter ID,Place ID,Character ID,Incantation,Dialogue
1,1,1,8,4,No Spell,I should have known that you would be here...Professor McGonagall.
1,2,1,8,7,No Spell,"Good evening, Professor Dumbledore. Are the rumours true, Albus?"
1,3,1,8,4,No Spell,"I'm afraid so, Professor. The good, and the bad."
1,4,1,8,7,No Spell,And the boy?
1,5,1,8,4,No Spell,Hagrid is bringing him.
1,6,1,8,7,No Spell,Do you think it wise to trust Hagrid with something as important as this?
1,7,1,8,4,No Spell,"Ah, Professor, I would trust Hagrid with my life."
1,8,1,8,5,No Spell,"Professor Dumbledore, Sir. Professor McGonagall."
1,9,1,8,4,No Spell,"No problems, I trust, Hagrid?"
1,10,1,8,5,No Spell,"No, sir. Little tyke fell asleep just as we were flying over Bristol. Heh. Try not to wake him. There you go."
1,11,1,8,7,No Spell,"Albus, do you really think it's safe, leaving him with these people? I've watched them all day. They're the worst sort of Muggles imaginable. They really are..."
1,12,1,8,4,No Spell,The only family he has.
1,13,1,8,7,No Spell,This boy will be famous. There won't be a child in our world who doesn't know his name.
1,14,1,8,4,No Spell,Exactly. He's better off growing up away from all that. Until he is ready.
1,15,1,8,4,No Spell,"There, there, Hagrid. It's not really goodbye, after all."
1,16,1,8,4,No Spell,Good luck...Harry Potter.
1,17,2,8,32,No Spell,Up. Get up.  Now!
1,18,2,8,31,No Spell,"Wake up, cousin! We're going to the zoo!"
1,19,2,8,32,No Spell,"Oh, here he comes, the birthday boy!"
1,20,2,8,21,No Spell,"Happy birthday, son."
1,21,2,8,32,No Spell,"Why don't you just cook the breakfast, and try not to burn anything."
1,22,2,8,1,No Spell,"Yes, Aunt Petunia."
1,23,2,8,32,No Spell,I want everything to be perfect for my Dudley's special day.
1,24,2,8,21,No Spell,"Hurry up! Bring my coffee, boy!"
1,25,2,8,1,No Spell,"Yes, Uncle Vernon."
1,26,2,8,32,No Spell,"Aren't they wonderful, darling?"
1,27,2,8,31,No Spell,How many are there?
1,28,2,8,21,No Spell,Thirty-six. Counted 'em myself.
1,29,2,8,31,No Spell,Thirty-six?! But last year last year I had thirty-seven!!
1,30,2,8,21,No Spell,"Err yes, well, some of them are quite a bit bigger than last year."
1,31,2,8,31,No Spell,I don't care how big they are!
1,32,2,8,32,No Spell,"Oh, now, now, now. This is what we're going to do, is that when we go out, we're going to buy you two new presents! How's that, pumpkin?"
1,33,2,8,32,No Spell,This will be a lovely day at the zoo. I'm really looking forward to it.
1,34,2,8,21,No Spell,"I'm warning you now, boy. Any funny business, any at all, and you won't have any meals for a week. Get in."
1,35,2,8,31,No Spell,Make it move.
1,36,2,8,21,No Spell,Move!
1,37,2,8,31,No Spell,MOVE!
1,38,2,8,1,No Spell,He's asleep!
1,39,2,8,31,No Spell,He's boring.
1,40,2,8,1,No Spell,"Sorry about him. He doesn't understand what it's like, lying there day after day, having people press their ugly faces in on you.  Can you...hear me?  It's just...I've never talked to a snake before. Do you...I mean...do you talk to people often?  You're from Burma, aren't you? Was it nice there, do you miss your family?  I see. That's me as well. I never knew my parents, either."
1,41,2,8,31,No Spell,"Mummy, dad, come here! You won't believe what this snake is doing!"
1,42,2,8,31,No Spell,Whoa! Ahh! Ahh!!
1,43,2,8,161,No Spell,Thanks.
1,44,2,8,1,No Spell,Anytime.
1,45,2,8,139,No Spell,SNAKE!
1,46,2,8,31,No Spell,"Mum, mummy!"
1,47,2,8,32,No Spell,AHH!
1,48,2,8,31,No Spell,"Mum, help! Help me!"
1,49,2,8,32,No Spell,"My darling boy! How did you get in there?! How did you get in there? Dursley, oh, Dursley!"
1,50,3,8,32,No Spell,It's all right. It's all right.
1,51,3,8,1,No Spell,Ow!
1,52,3,8,21,No Spell,What happened?!
1,53,3,8,1,No Spell,"I swear I don't know!  One minute, the glass was there and then it was gone! It was like magic!"
1,54,3,8,21,No Spell,There's no such thing as magic!
1,55,3,8,32,No Spell,"Awww, smile.  Vernon, just look at him. I can't believe it. In just a week you'll be off to Smeltings."
1,56,3,8,21,No Spell,Caveat Smeltona. Proudest moment of my life.
1,57,3,8,1,No Spell,"Will I have to wear that, too?"
1,58,3,8,32,No Spell,"What, you? Go to Smeltings?"
1,59,3,8,21,No Spell,Ha!
1,60,3,8,32,No Spell,"Oh, don't be so stupid, you're going to the state school where you belong.  And this is what you're gonna be wearing when I've finished dyeing it."
1,61,3,8,1,No Spell,But that's Dudley's old uniform. It'll fit me like bits of old Elephant skin.
1,62,3,8,32,No Spell,It'll fit you well enough. Go get the post.  Go!
1,63,3,8,21,No Spell,"Oh, Marge is ill! Ate a funny whelk."
1,64,3,8,31,No Spell,Dad! Look! Harry's got a letter!
1,65,3,8,1,No Spell,"Hey, give it back! It's mine!"
1,66,3,8,21,No Spell,Yours? Who'd be writing to you?
1,67,3,8,21,No Spell,No more mail through this letterbox.
1,68,3,8,32,No Spell,"Have a lovely day at the office, dear."
1,69,3,8,21,No Spell,Shoo! Go on!
1,70,3,8,21,No Spell,"Fine day Sunday. In my opinion, best day of the week. Why is that, Dudley?"
1,71,3,8,1,No Spell,Because there's no post on Sunday?
1,72,3,8,21,No Spell,"Ah, right you are, Harry. No post on Sunday. Ha! No blasted letters today. No, sir. Not one single bloody letter, not one.  No, sir, not one blasted, miserable-"
1,73,3,8,31,No Spell,AHH! Make it stop! Please make it stop!
1,74,3,8,21,No Spell,"Go away, ahh!"
1,75,3,8,31,No Spell,What is it? Please tell me what's happening!
1,76,3,8,21,No Spell,Give me that! Give me that letter!
1,77,3,8,1,No Spell,Get off! Ahh!
1,78,3,8,21,No Spell,Ahh!
1,79,3,8,1,No Spell,They're my letters! Let go of me!
1,80,3,8,21,No Spell,That's it! We're going away! Far away! Where they can't find us!
1,81,3,8,31,No Spell,"Daddy's gone mad, hasn't he?!"
1,82,4,10,1,No Spell,"Make a wish, Harry."
